"compound","keggid","number","Pathway_Description"
"Calcium cation","C00076","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
"Diacylglycerol","C00165","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
"Potassium cation","C00238","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
"3',5'-Cyclic AMP","C00575","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
"Estradiol-17beta","C00951","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
"Sodium cation","C01330","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
"Calcitriol","C01673","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
"H2O","C00001","hsa04962","Vasopressin-regulated water reabsorption"
"3',5'-Cyclic AMP","C00575","hsa04962","Vasopressin-regulated water reabsorption"
"H2O","C00001","hsa04964","Proximal tubule bicarbonate reclamation"
"CO2","C00011","hsa04964","Proximal tubule bicarbonate reclamation"
"Ammonia","C00014","hsa04964","Proximal tubule bicarbonate reclamation"
"L-Glutamate","C00025","hsa04964","Proximal tubule bicarbonate reclamation"
"2-Oxoglutarate","C00026","hsa04964","Proximal tubule bicarbonate reclamation"
"Oxaloacetate","C00036","hsa04964","Proximal tubule bicarbonate reclamation"
"L-Glutamine","C00064","hsa04964","Proximal tubule bicarbonate reclamation"
"Phosphoenolpyruvate","C00074","hsa04964","Proximal tubule bicarbonate reclamation"
"H+","C00080","hsa04964","Proximal tubule bicarbonate reclamation"
"(S)-Malate","C00149","hsa04964","Proximal tubule bicarbonate reclamation"
"Potassium cation","C00238","hsa04964","Proximal tubule bicarbonate reclamation"
"alpha-D-Glucose","C00267","hsa04964","Proximal tubule bicarbonate reclamation"
"HCO3-","C00288","hsa04964","Proximal tubule bicarbonate reclamation"
"Cl-","C00698","hsa04964","Proximal tubule bicarbonate reclamation"
"Sodium cation","C01330","hsa04964","Proximal tubule bicarbonate reclamation"
"Carbonic acid","C01353","hsa04964","Proximal tubule bicarbonate reclamation"
"NH4OH","C01358","hsa04964","Proximal tubule bicarbonate reclamation"
"H2O","C00001","hsa04966","Collecting duct acid secretion"
"CO2","C00011","hsa04966","Collecting duct acid secretion"
"Ammonia","C00014","hsa04966","Collecting duct acid secretion"
"H+","C00080","hsa04966","Collecting duct acid secretion"
"Potassium cation","C00238","hsa04966","Collecting duct acid secretion"
"HCO3-","C00288","hsa04966","Collecting duct acid secretion"
"Cl-","C00698","hsa04966","Collecting duct acid secretion"
"Carbonic acid","C01353","hsa04966","Collecting duct acid secretion"
"H2O","C00001","hsa04970","Salivary secretion"
"CO2","C00011","hsa04970","Salivary secretion"
"Calcium cation","C00076","hsa04970","Salivary secretion"
"H+","C00080","hsa04970","Salivary secretion"
"Diacylglycerol","C00165","hsa04970","Salivary secretion"
"Potassium cation","C00238","hsa04970","Salivary secretion"
"HCO3-","C00288","hsa04970","Salivary secretion"
"Nitric oxide","C00533","hsa04970","Salivary secretion"
"L-Noradrenaline","C00547","hsa04970","Salivary secretion"
"3',5'-Cyclic AMP","C00575","hsa04970","Salivary secretion"
"Cl-","C00698","hsa04970","Salivary secretion"
"3',5'-Cyclic GMP","C00942","hsa04970","Salivary secretion"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa04970","Salivary secretion"
"Sodium cation","C01330","hsa04970","Salivary secretion"
"Carbonic acid","C01353","hsa04970","Salivary secretion"
"Acetylcholine","C01996","hsa04970","Salivary secretion"
"Cyclic ADP-ribose","C13050","hsa04970","Salivary secretion"
"H2O","C00001","hsa04971","Gastric acid secretion"
"CO2","C00011","hsa04971","Gastric acid secretion"
"Calcium cation","C00076","hsa04971","Gastric acid secretion"
"H+","C00080","hsa04971","Gastric acid secretion"
"Diacylglycerol","C00165","hsa04971","Gastric acid secretion"
"Potassium cation","C00238","hsa04971","Gastric acid secretion"
"HCO3-","C00288","hsa04971","Gastric acid secretion"
"Histamine","C00388","hsa04971","Gastric acid secretion"
"3',5'-Cyclic AMP","C00575","hsa04971","Gastric acid secretion"
"Cl-","C00698","hsa04971","Gastric acid secretion"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa04971","Gastric acid secretion"
"Sodium cation","C01330","hsa04971","Gastric acid secretion"
"Carbonic acid","C01353","hsa04971","Gastric acid secretion"
"Acetylcholine","C01996","hsa04971","Gastric acid secretion"
"H2O","C00001","hsa04972","Pancreatic secretion"
"CO2","C00011","hsa04972","Pancreatic secretion"
"Calcium cation","C00076","hsa04972","Pancreatic secretion"
"H+","C00080","hsa04972","Pancreatic secretion"
"Diacylglycerol","C00165","hsa04972","Pancreatic secretion"
"Potassium cation","C00238","hsa04972","Pancreatic secretion"
"HCO3-","C00288","hsa04972","Pancreatic secretion"
"3',5'-Cyclic AMP","C00575","hsa04972","Pancreatic secretion"
"Cl-","C00698","hsa04972","Pancreatic secretion"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa04972","Pancreatic secretion"
"Sodium cation","C01330","hsa04972","Pancreatic secretion"
"Carbonic acid","C01353","hsa04972","Pancreatic secretion"
"Acetylcholine","C01996","hsa04972","Pancreatic secretion"
"Cyclic ADP-ribose","C13050","hsa04972","Pancreatic secretion"
"Nicotinic acid adenine dinucleotide phosphate","C13051","hsa04972","Pancreatic secretion"
"CO2","C00011","hsa04973","Carbohydrate digestion and absorption"
"D-Glucose","C00031","hsa04973","Carbohydrate digestion and absorption"
"Acetate","C00033","hsa04973","Carbohydrate digestion and absorption"
"Calcium cation","C00076","hsa04973","Carbohydrate digestion and absorption"
"Sucrose","C00089","hsa04973","Carbohydrate digestion and absorption"
"D-Glucose 6-phosphate","C00092","hsa04973","Carbohydrate digestion and absorption"
"D-Fructose","C00095","hsa04973","Carbohydrate digestion and absorption"
"D-Galactose","C00124","hsa04973","Carbohydrate digestion and absorption"
"Propanoate","C00163","hsa04973","Carbohydrate digestion and absorption"
"Diacylglycerol","C00165","hsa04973","Carbohydrate digestion and absorption"
"Maltose","C00208","hsa04973","Carbohydrate digestion and absorption"
"Potassium cation","C00238","hsa04973","Carbohydrate digestion and absorption"
"Lactose","C00243","hsa04973","Carbohydrate digestion and absorption"
"Butanoic acid","C00246","hsa04973","Carbohydrate digestion and absorption"
"Hydrogen","C00282","hsa04973","Carbohydrate digestion and absorption"
"Starch","C00369","hsa04973","Carbohydrate digestion and absorption"
"Xylan","C00707","hsa04973","Carbohydrate digestion and absorption"
"Pectin","C00714","hsa04973","Carbohydrate digestion and absorption"
"Cellulose","C00760","hsa04973","Carbohydrate digestion and absorption"
"Sodium cation","C01330","hsa04973","Carbohydrate digestion and absorption"
"Fructan","C01355","hsa04973","Carbohydrate digestion and absorption"
"Maltotriose","C01835","hsa04973","Carbohydrate digestion and absorption"
"Limit dextrin","C02049","hsa04973","Carbohydrate digestion and absorption"
"Phosphatidylinositol-3,4,5-trisphosphate","C05981","hsa04973","Carbohydrate digestion and absorption"
"Gum arabic","C08822","hsa04973","Carbohydrate digestion and absorption"
"Saccharin sodium anhydrous","C12284","hsa04973","Carbohydrate digestion and absorption"
"Sucralose","C12285","hsa04973","Carbohydrate digestion and absorption"
"CO2","C00011","hsa04974","Protein digestion and absorption"
"Ammonia","C00014","hsa04974","Protein digestion and absorption"
"L-Glutamate","C00025","hsa04974","Protein digestion and absorption"
"Acetate","C00033","hsa04974","Protein digestion and absorption"
"Glycine","C00037","hsa04974","Protein digestion and absorption"
"L-Alanine","C00041","hsa04974","Protein digestion and absorption"
"L-Lysine","C00047","hsa04974","Protein digestion and absorption"
"L-Aspartate","C00049","hsa04974","Protein digestion and absorption"
"L-Arginine","C00062","hsa04974","Protein digestion and absorption"
"L-Glutamine","C00064","hsa04974","Protein digestion and absorption"
"L-Serine","C00065","hsa04974","Protein digestion and absorption"
"L-Methionine","C00073","hsa04974","Protein digestion and absorption"
"Calcium cation","C00076","hsa04974","Protein digestion and absorption"
"L-Tryptophan","C00078","hsa04974","Protein digestion and absorption"
"L-Phenylalanine","C00079","hsa04974","Protein digestion and absorption"
"H+","C00080","hsa04974","Protein digestion and absorption"
"L-Tyrosine","C00082","hsa04974","Protein digestion and absorption"
"L-Cysteine","C00097","hsa04974","Protein digestion and absorption"
"beta-Alanine","C00099","hsa04974","Protein digestion and absorption"
"L-Leucine","C00123","hsa04974","Protein digestion and absorption"
"Putrescine","C00134","hsa04974","Protein digestion and absorption"
"L-Histidine","C00135","hsa04974","Protein digestion and absorption"
"Phenol","C00146","hsa04974","Protein digestion and absorption"
"L-Proline","C00148","hsa04974","Protein digestion and absorption"
"L-Asparagine","C00152","hsa04974","Protein digestion and absorption"
"Propanoate","C00163","hsa04974","Protein digestion and absorption"
"L-Valine","C00183","hsa04974","Protein digestion and absorption"
"L-Threonine","C00188","hsa04974","Protein digestion and absorption"
"Potassium cation","C00238","hsa04974","Protein digestion and absorption"
"Butanoic acid","C00246","hsa04974","Protein digestion and absorption"
"Hydrogen","C00282","hsa04974","Protein digestion and absorption"
"Histamine","C00388","hsa04974","Protein digestion and absorption"
"L-Isoleucine","C00407","hsa04974","Protein digestion and absorption"
"Indole","C00463","hsa04974","Protein digestion and absorption"
"Tyramine","C00483","hsa04974","Protein digestion and absorption"
"L-Cystine","C00491","hsa04974","Protein digestion and absorption"
"Hydrochloric acid","C01327","hsa04974","Protein digestion and absorption"
"Sodium cation","C01330","hsa04974","Protein digestion and absorption"
"Methane","C01438","hsa04974","Protein digestion and absorption"
"4-Cresol","C01468","hsa04974","Protein digestion and absorption"
"Cadaverine","C01672","hsa04974","Protein digestion and absorption"
"Piperidine","C01746","hsa04974","Protein digestion and absorption"
"2-Methylpropanoate","C02632","hsa04974","Protein digestion and absorption"
"Branched chain fatty acid","C05996","hsa04974","Protein digestion and absorption"
"3-Methylbutanoic acid","C08262","hsa04974","Protein digestion and absorption"
"L-Pyrrolysine","C16138","hsa04974","Protein digestion and absorption"
"2-Methylbutyrate","C18319","hsa04974","Protein digestion and absorption"
"CoA","C00010","hsa04975","Fat digestion and absorption"
"Acyl-CoA","C00040","hsa04975","Fat digestion and absorption"
"Fatty acid","C00162","hsa04975","Fat digestion and absorption"
"Diacylglycerol","C00165","hsa04975","Fat digestion and absorption"
"Cholesterol","C00187","hsa04975","Fat digestion and absorption"
"Phosphatidate","C00416","hsa04975","Fat digestion and absorption"
"Triacylglycerol","C00422","hsa04975","Fat digestion and absorption"
"1-Acyl-sn-glycerol 3-phosphate","C00681","hsa04975","Fat digestion and absorption"
"Phospholipid","C00865","hsa04975","Fat digestion and absorption"
"Bile salt","C01558","hsa04975","Fat digestion and absorption"
"1-Acylglycerol","C01885","hsa04975","Fat digestion and absorption"
"2-Acylglycerol","C02112","hsa04975","Fat digestion and absorption"
"Cholesterol ester","C02530","hsa04975","Fat digestion and absorption"
"H2O","C00001","hsa04976","Bile secretion"
"CO2","C00011","hsa04976","Bile secretion"
"Acetyl-CoA","C00024","hsa04976","Bile secretion"
"2-Oxoglutarate","C00026","hsa04976","Bile secretion"
"D-Glucose","C00031","hsa04976","Bile secretion"
"Glutathione","C00051","hsa04976","Bile secretion"
"H+","C00080","hsa04976","Bile secretion"
"Choline","C00114","hsa04976","Bile secretion"
"Cholesterol","C00187","hsa04976","Bile secretion"
"Potassium cation","C00238","hsa04976","Bile secretion"
"HCO3-","C00288","hsa04976","Bile secretion"
"Spermidine","C00315","hsa04976","Bile secretion"
"L-Carnitine","C00318","hsa04976","Bile secretion"
"Urate","C00366","hsa04976","Bile secretion"
"Bilirubin","C00486","hsa04976","Bile secretion"
"Folate","C00504","hsa04976","Bile secretion"
"3',5'-Cyclic AMP","C00575","hsa04976","Bile secretion"
"Prostaglandin E2","C00584","hsa04976","Bile secretion"
"Prostaglandin F2alpha","C00639","hsa04976","Bile secretion"
"Cholic acid","C00695","hsa04976","Bile secretion"
"Cl-","C00698","hsa04976","Bile secretion"
"Cortisol","C00735","hsa04976","Bile secretion"
"Spermine","C00750","hsa04976","Bile secretion"
"Serotonin","C00780","hsa04976","Bile secretion"
"Salicylate","C00805","hsa04976","Bile secretion"
"Phospholipid","C00865","hsa04976","Bile secretion"
"3',5'-Cyclic GMP","C00942","hsa04976","Bile secretion"
"Sodium cation","C01330","hsa04976","Bile secretion"
"Carbonic acid","C01353","hsa04976","Bile secretion"
"Aspirin","C01405","hsa04976","Bile secretion"
"Ouabain","C01443","hsa04976","Bile secretion"
"Etoposide","C01576","hsa04976","Bile secretion"
"Thyroxine","C01829","hsa04976","Bile secretion"
"Pravastatin","C01844","hsa04976","Bile secretion"
"Glycocholate","C01921","hsa04976","Bile secretion"
"Methotrexate","C01937","hsa04976","Bile secretion"
"Acetylcholine","C01996","hsa04976","Bile secretion"
"Leukotriene B4","C02165","hsa04976","Bile secretion"
"Leukotriene C4","C02166","hsa04976","Bile secretion"
"6-Mercaptopurine","C02380","hsa04976","Bile secretion"
"Triiodothyronine","C02465","hsa04976","Bile secretion"
"Chenodeoxycholate","C02528","hsa04976","Bile secretion"
"Cholesterol ester","C02530","hsa04976","Bile secretion"
"Estrone 3-sulfate","C02538","hsa04976","Bile secretion"
"1-Methylnicotinamide","C02918","hsa04976","Bile secretion"
"beta-D-Glucuronoside","C03033","hsa04976","Bile secretion"
"Taurolithocholate sulfate","C03642","hsa04976","Bile secretion"
"Dopamine","C03758","hsa04976","Bile secretion"
"Lithocholic acid","C03990","hsa04976","Bile secretion"
"Deoxycholic acid","C04483","hsa04976","Bile secretion"
"Dehydroepiandrosterone sulfate","C04555","hsa04976","Bile secretion"
"Taurocholate","C05122","hsa04976","Bile secretion"
"Microcystin LR","C05371","hsa04976","Bile secretion"
"Taurochenodeoxycholate","C05465","hsa04976","Bile secretion"
"Glycochenodeoxycholate","C05466","hsa04976","Bile secretion"
"Estradiol-17beta 3-glucuronide","C05503","hsa04976","Bile secretion"
"Penicillin G","C05551","hsa04976","Bile secretion"
"Thromboxane B2","C05963","hsa04976","Bile secretion"
"Quinine","C06526","hsa04976","Bile secretion"
"Tetracycline","C06570","hsa04976","Bile secretion"
"Rifampicin","C06688","hsa04976","Bile secretion"
"Acetaminophen","C06804","hsa04976","Bile secretion"
"Aciclovir","C06810","hsa04976","Bile secretion"
"Cefazolin","C06880","hsa04976","Bile secretion"
"Ceftizoxime","C06890","hsa04976","Bile secretion"
"Digoxin","C06956","hsa04976","Bile secretion"
"Fexofenadine","C06999","hsa04976","Bile secretion"
"Fluvastatin","C07014","hsa04976","Bile secretion"
"Indinavir","C07051","hsa04976","Bile secretion"
"Lamivudine","C07065","hsa04976","Bile secretion"
"Metformin","C07151","hsa04976","Bile secretion"
"Valacyclovir","C07184","hsa04976","Bile secretion"
"Valproic acid","C07185","hsa04976","Bile secretion"
"Vinblastine","C07201","hsa04976","Bile secretion"
"Zalcitabine","C07207","hsa04976","Bile secretion"
"Zidovudine","C07210","hsa04976","Bile secretion"
"Ritonavir","C07240","hsa04976","Bile secretion"
"Paclitaxel","C07394","hsa04976","Bile secretion"
"Tetraethylammonium","C07512","hsa04976","Bile secretion"
"5-FU","C07649","hsa04976","Bile secretion"
"Levofloxacin","C07660","hsa04976","Bile secretion"
"Cerivastatin","C07966","hsa04976","Bile secretion"
"Estradiol-17beta 3-sulfate","C08357","hsa04976","Bile secretion"
"Phalloidin","C08439","hsa04976","Bile secretion"
"Ochratoxin A","C09955","hsa04976","Bile secretion"
"Topotecan","C11158","hsa04976","Bile secretion"
"Docetaxel anhydrous","C11231","hsa04976","Bile secretion"
"Glucuronosyletoposide","C11245","hsa04976","Bile secretion"
"Adefovir","C11277","hsa04976","Bile secretion"
"1-Methyl-4-phenylpyridinium","C11310","hsa04976","Bile secretion"
"Sulfobromophthalein","C11363","hsa04976","Bile secretion"
"BQ 123","C11587","hsa04976","Bile secretion"
"Cephaloridine","C11754","hsa04976","Bile secretion"
"Saquinavir mesylate","C12560","hsa04976","Bile secretion"
"Cholecystokinin-8","C16114","hsa04976","Bile secretion"
"Morphine-6-glucuronide","C16578","hsa04976","Bile secretion"
"Morphine-3-glucuronide","C16643","hsa04976","Bile secretion"
"Etoposide (JP18/USP/INN)","D00125","hsa04976","Bile secretion"
"Erythromycin (JP18/USP/INN)","D00140","hsa04976","Bile secretion"
"Methotrexate (JP18/USP/INN)","D00142","hsa04976","Bile secretion"
"Cyclosporine (USP)","D00184","hsa04976","Bile secretion"
"Ciprofloxacin (JP18/USP/INN)","D00186","hsa04976","Bile secretion"
"Tetracycline (JAN/USP/INN)","D00201","hsa04976","Bile secretion"
"Dactinomycin (USP)","D00214","hsa04976","Bile secretion"
"Allopurinol (JP18/USP/INN)","D00224","hsa04976","Bile secretion"
"Aztreonam (JP18/USP/INN)","D00240","hsa04976","Bile secretion"
"Bumetanide (JP18/USP/INN)","D00247","hsa04976","Bile secretion"
"Cimetidine (JP18/USP/INN)","D00295","hsa04976","Bile secretion"
"Digoxin (JP18/USP)","D00298","hsa04976","Bile secretion"
"Famotidine (JP18/USP/INN)","D00318","hsa04976","Bile secretion"
"Furosemide (JP18/USP/INN)","D00331","hsa04976","Bile secretion"
"Ganciclovir (JAN/USP/INN)","D00333","hsa04976","Bile secretion"
"Hydrochlorothiazide (JP18/USP/INN)","D00340","hsa04976","Bile secretion"
"Lamivudine (JAN/USP/INN)","D00353","hsa04976","Bile secretion"
"Lovastatin (USP/INN)","D00359","hsa04976","Bile secretion"
"Valsartan (JP18/USP/INN)","D00400","hsa04976","Bile secretion"
"Ranitidine (USAN/INN)","D00422","hsa04976","Bile secretion"
"Ritonavir (JAN/USP/INN)","D00427","hsa04976","Bile secretion"
"Saquinavir (JAN/USP/INN)","D00429","hsa04976","Bile secretion"
"Nitrofurantoin (JAN/USP/INN)","D00439","hsa04976","Bile secretion"
"Ofloxacin (JP18/USP/INN)","D00453","hsa04976","Bile secretion"
"Ondansetron (JAN/USP/INN)","D00456","hsa04976","Bile secretion"
"Paclitaxel (JAN/USP/INN)","D00491","hsa04976","Bile secretion"
"Phenytoin (JP18/USP/INN)","D00512","hsa04976","Bile secretion"
"Terfenadine (JAN/USAN/INN)","D00521","hsa04976","Bile secretion"
"Colchicine (JP18/USP)","D00570","hsa04976","Bile secretion"
"Sparfloxacin (JAN/USAN/INN)","D00590","hsa04976","Bile secretion"
"Vecuronium bromide (JAN/USP/INN)","D00767","hsa04976","Bile secretion"
"Ivermectin (JAN/USP/INN)","D00804","hsa04976","Bile secretion"
"Irinotecan hydrochloride (USP)","D01061","hsa04976","Bile secretion"
"Daunorubicin hydrochloride (JP18/USP)","D01264","hsa04976","Bile secretion"
"Doxorubicin hydrochloride (JP18/USP)","D01275","hsa04976","Bile secretion"
"Aminohippurate sodium (USP)","D01421","hsa04976","Bile secretion"
"Domperidone (JP18/USAN/INN)","D01745","hsa04976","Bile secretion"
"Pitavastatin calcium (JAN)","D01862","hsa04976","Bile secretion"
"Methotrexate sodium","D02115","hsa04976","Bile secretion"
"Mitoxantrone hydrochloride (JAN/USP)","D02166","hsa04976","Bile secretion"
"Epirubicin hydrochloride (JP18/USP)","D02214","hsa04976","Bile secretion"
"Ciprofloxacin hydrochloride (USP)","D02216","hsa04976","Bile secretion"
"Verapamil (USAN/INN)","D02356","hsa04976","Bile secretion"
"Bisantrene hydrochloride (USAN)","D03130","hsa04976","Bile secretion"
"Indinavir (USAN)","D03833","hsa04976","Bile secretion"
"Doxorubicin (USAN/INN)","D03899","hsa04976","Bile secretion"
"Mercaptopurine (INN)","D04931","hsa04976","Bile secretion"
"Olmesartan (USAN/INN)","D05246","hsa04976","Bile secretion"
"Technetium Tc 99m tetrofosmin (USP)","D06050","hsa04976","Bile secretion"
"Tenofovir (USAN)","D06074","hsa04976","Bile secretion"
"Amitriptyline (INN)","D07448","hsa04976","Bile secretion"
"Bosentan (INN)","D07538","hsa04976","Bile secretion"
"Caspofungin (INN)","D07626","hsa04976","Bile secretion"
"Cerivastatin (INN)","D07661","hsa04976","Bile secretion"
"Daunorubicin (INN)","D07776","hsa04976","Bile secretion"
"Diltiazem (INN)","D07845","hsa04976","Bile secretion"
"Docetaxel (JAN/INN)","D07866","hsa04976","Bile secretion"
"Epirubicin (INN)","D07901","hsa04976","Bile secretion"
"Erlotinib (INN)","D07907","hsa04976","Bile secretion"
"Fexofenadine (INN)","D07958","hsa04976","Bile secretion"
"Folinic acid (BAN)","D07986","hsa04976","Bile secretion"
"Folinic acid calcium salt pentahydrate","D07987","hsa04976","Bile secretion"
"Imatinib (INN)","D08066","hsa04976","Bile secretion"
"Irinotecan (INN)","D08086","hsa04976","Bile secretion"
"Lapatinib (INN)","D08108","hsa04976","Bile secretion"
"Loperamide (INN)","D08144","hsa04976","Bile secretion"
"Losartan (INN)","D08146","hsa04976","Bile secretion"
"Mitoxantrone (INN)","D08224","hsa04976","Bile secretion"
"Nelfinavir (INN)","D08259","hsa04976","Bile secretion"
"Ofloxacin hydrochloride","D08291","hsa04976","Bile secretion"
"Oseltamivir (INN)","D08306","hsa04976","Bile secretion"
"Prazosin (INN)","D08411","hsa04976","Bile secretion"
"Quinidine (BAN)","D08458","hsa04976","Bile secretion"
"Rosuvastatin (INN)","D08492","hsa04976","Bile secretion"
"Topotecan (BAN)","D08618","hsa04976","Bile secretion"
"Vinblastine (INN)","D08675","hsa04976","Bile secretion"
"Vincristine (INN)","D08679","hsa04976","Bile secretion"
"NAD+","C00003","hsa04977","Vitamin digestion and absorption"
"CoA","C00010","hsa04977","Vitamin digestion and absorption"
"FAD","C00016","hsa04977","Vitamin digestion and absorption"
"Pyridoxal phosphate","C00018","hsa04977","Vitamin digestion and absorption"
"FMN","C00061","hsa04977","Vitamin digestion and absorption"
"Thiamin diphosphate","C00068","hsa04977","Vitamin digestion and absorption"
"Ascorbate","C00072","hsa04977","Vitamin digestion and absorption"
"H+","C00080","hsa04977","Vitamin digestion and absorption"
"Biotin","C00120","hsa04977","Vitamin digestion and absorption"
"Nicotinamide","C00153","hsa04977","Vitamin digestion and absorption"
"Fatty acid","C00162","hsa04977","Vitamin digestion and absorption"
"Cholesterol","C00187","hsa04977","Vitamin digestion and absorption"
"Pyridoxal","C00250","hsa04977","Vitamin digestion and absorption"
"Riboflavin","C00255","hsa04977","Vitamin digestion and absorption"
"Retinal","C00376","hsa04977","Vitamin digestion and absorption"
"Thiamine","C00378","hsa04977","Vitamin digestion and absorption"
"Triacylglycerol","C00422","hsa04977","Vitamin digestion and absorption"
"Retinol","C00473","hsa04977","Vitamin digestion and absorption"
"Folate","C00504","hsa04977","Vitamin digestion and absorption"
"Pyridoxamine","C00534","hsa04977","Vitamin digestion and absorption"
"Pyridoxamine phosphate","C00647","hsa04977","Vitamin digestion and absorption"
"1-Acyl-sn-glycerol 3-phosphate","C00681","hsa04977","Vitamin digestion and absorption"
"Menaquinone","C00828","hsa04977","Vitamin digestion and absorption"
"Pantothenate","C00864","hsa04977","Vitamin digestion and absorption"
"Sodium cation","C01330","hsa04977","Vitamin digestion and absorption"
"Bile salt","C01558","hsa04977","Vitamin digestion and absorption"
"1-Acylglycerol","C01885","hsa04977","Vitamin digestion and absorption"
"Phylloquinone","C02059","hsa04977","Vitamin digestion and absorption"
"Retinyl ester","C02075","hsa04977","Vitamin digestion and absorption"
"beta-Carotene","C02094","hsa04977","Vitamin digestion and absorption"
"2-Acylglycerol","C02112","hsa04977","Vitamin digestion and absorption"
"alpha-Tocopherol","C02477","hsa04977","Vitamin digestion and absorption"
"Cholesterol ester","C02530","hsa04977","Vitamin digestion and absorption"
"Menadione","C05377","hsa04977","Vitamin digestion and absorption"
"Vitamin D3","C05443","hsa04977","Vitamin digestion and absorption"
"Biocytin","C05552","hsa04977","Vitamin digestion and absorption"
"Vitamin B12","C05776","hsa04977","Vitamin digestion and absorption"
"dl-alpha-Tocopherol nicotinate","C12981","hsa04977","Vitamin digestion and absorption"
"alpha-Tocopherol acetate","C13202","hsa04977","Vitamin digestion and absorption"
"Orthophosphate","C00009","hsa04978","Mineral absorption"
"D-Glucose","C00031","hsa04978","Mineral absorption"
"Heme","C00032","hsa04978","Mineral absorption"
"Glycine","C00037","hsa04978","Mineral absorption"
"Zinc cation","C00038","hsa04978","Mineral absorption"
"L-Alanine","C00041","hsa04978","Mineral absorption"
"L-Glutamine","C00064","hsa04978","Mineral absorption"
"L-Serine","C00065","hsa04978","Mineral absorption"
"Copper","C00070","hsa04978","Mineral absorption"
"L-Methionine","C00073","hsa04978","Mineral absorption"
"Calcium cation","C00076","hsa04978","Mineral absorption"
"L-Tryptophan","C00078","hsa04978","Mineral absorption"
"L-Phenylalanine","C00079","hsa04978","Mineral absorption"
"H+","C00080","hsa04978","Mineral absorption"
"L-Leucine","C00123","hsa04978","Mineral absorption"
"D-Galactose","C00124","hsa04978","Mineral absorption"
"L-Proline","C00148","hsa04978","Mineral absorption"
"L-Asparagine","C00152","hsa04978","Mineral absorption"
"L-Valine","C00183","hsa04978","Mineral absorption"
"L-Threonine","C00188","hsa04978","Mineral absorption"
"Potassium cation","C00238","hsa04978","Mineral absorption"
"HCO3-","C00288","hsa04978","Mineral absorption"
"Magnesium cation","C00305","hsa04978","Mineral absorption"
"L-Isoleucine","C00407","hsa04978","Mineral absorption"
"Cl-","C00698","hsa04978","Mineral absorption"
"Sodium cation","C01330","hsa04978","Mineral absorption"
"Calcitriol","C01673","hsa04978","Mineral absorption"
"Fe2+","C14818","hsa04978","Mineral absorption"
"Fe3+","C14819","hsa04978","Mineral absorption"
"Fatty acid","C00162","hsa04979","Cholesterol metabolism"
"Cholesterol","C00187","hsa04979","Cholesterol metabolism"
"Triacylglycerol","C00422","hsa04979","Cholesterol metabolism"
"Phospholipid","C00865","hsa04979","Cholesterol metabolism"
"Glycocholate","C01921","hsa04979","Cholesterol metabolism"
"Cholesterol ester","C02530","hsa04979","Cholesterol metabolism"
"Taurocholate","C05122","hsa04979","Cholesterol metabolism"
"Taurochenodeoxycholate","C05465","hsa04979","Cholesterol metabolism"
"Glycochenodeoxycholate","C05466","hsa04979","Cholesterol metabolism"
"Cholest-5-ene-3beta,26-diol","C15610","hsa04979","Cholesterol metabolism"
"Hydrogen peroxide","C00027","hsa05010","Alzheimer disease"
"Zinc cation","C00038","hsa05010","Alzheimer disease"
"Copper","C00070","hsa05010","Alzheimer disease"
"Calcium cation","C00076","hsa05010","Alzheimer disease"
"Nitric oxide","C00533","hsa05010","Alzheimer disease"
"Superoxide","C00704","hsa05010","Alzheimer disease"
"D-myo-Inositol 1,4,5-trisphosphate","C01245","hsa05010","Alzheimer disease"
"Hg","C01319","hsa05010","Alzheimer disease"
"1-Phosphatidyl-1D-myo-inositol 3-phosphate","C04549","hsa05010","Alzheimer disease"
"Phosphatidylinositol-3,4,5-trisphosphate","C05981","hsa05010","Alzheimer disease"
"Fe2+","C14818","hsa05010","Alzheimer disease"
"Amyloid beta protein 40","C16514","hsa05010","Alzheimer disease"
"Amyloid beta protein 42","C16515","hsa05010","Alzheimer disease"
"Peroxynitrite","C16845","hsa05010","Alzheimer disease"
"Manganese(2+)","C19610","hsa05010","Alzheimer disease"
"[Protein]-N(epsilon)-(carboxymethyl)lysine","C21011","hsa05010","Alzheimer disease"
"[Protein]-N(epsilon)-(carboxyethyl)lysine","C21012","hsa05010","Alzheimer disease"
"[Protein]-pyrraline","C21013","hsa05010","Alzheimer disease"
"[Protein]-pentosidine","C21014","hsa05010","Alzheimer disease"
"ATP","C00002","hsa05012","Parkinson disease"
"Oxygen","C00007","hsa05012","Parkinson disease"
"ADP","C00008","hsa05012","Parkinson disease"
"Orthophosphate","C00009","hsa05012","Parkinson disease"
"Diphosphate","C00013","hsa05012","Parkinson disease"
"AMP","C00020","hsa05012","Parkinson disease"
